epoch,accuracy,loss,val_accuracy,val_loss
0,0.11226851493120193,3.801741361618042,0.0,3.746046781539917
1,0.6307870149612427,1.2957733869552612,0.02777777798473835,7.7653422355651855
2,0.9421296119689941,0.24809005856513977,0.02777777798473835,10.688966751098633
3,0.9780092835426331,0.11553353816270828,0.02777777798473835,10.62464714050293
4,0.9849537014961243,0.06336496025323868,0.02777777798473835,13.705307960510254
5,0.9907407164573669,0.03654404357075691,0.02777777798473835,13.248896598815918
6,0.9884259104728699,0.048333533108234406,0.02777777798473835,13.814309120178223
7,0.9976851940155029,0.023342978209257126,0.02777777798473835,14.93637466430664
8,0.9965277910232544,0.021442212164402008,0.02777777798473835,14.033221244812012
9,0.9930555820465088,0.025841282680630684,0.02777777798473835,11.176960945129395
