epoch,accuracy,loss,val_accuracy,val_loss
0,0.0902777761220932,2.8599212169647217,0.0,3.4670145511627197
1,0.14351852238178253,2.6277964115142822,0.0,4.416284561157227
2,0.36342594027519226,2.1817445755004883,0.0,5.285002708435059
3,0.5555555820465088,1.543033480644226,0.0,5.892429351806641
4,0.7453703880310059,0.918463408946991,0.0,5.50152063369751
5,0.8194444179534912,0.6577839851379395,0.1666666716337204,7.59782075881958
6,0.9074074029922485,0.3754706084728241,0.1666666716337204,7.763203144073486
7,0.9444444179534912,0.2840889096260071,0.1666666716337204,9.438270568847656
8,0.9421296119689941,0.2087804526090622,0.1666666716337204,9.023380279541016
9,0.9467592835426331,0.18241097033023834,0.1666666716337204,10.276741981506348
