epoch,accuracy,loss,val_accuracy,val_loss
0,0.1041666641831398,3.2853803634643555,0.0,3.5170063972473145
1,0.3194444477558136,2.234938383102417,0.0,4.12631368637085
2,0.5717592835426331,1.400968074798584,0.0,4.773324012756348
3,0.7569444179534912,0.8207164406776428,0.1388888955116272,5.367474555969238
4,0.8449074029922485,0.5044589638710022,0.1666666716337204,5.953066349029541
5,0.8958333134651184,0.3505931496620178,0.1666666716337204,6.016409873962402
6,0.9467592835426331,0.20844930410385132,0.1666666716337204,7.088982105255127
7,0.9537037014961243,0.16822347044944763,0.1666666716337204,8.522730827331543
8,0.9583333134651184,0.15695033967494965,0.1666666716337204,7.954844951629639
9,0.9675925970077515,0.11808695644140244,0.1666666716337204,8.140807151794434
